"Legacy Identifier","Identifier","Alternate Identifier","Title#1","Description#1","Description#2","Subject 1#1","Subject Type 1#1","Subject 2#1","Subject Type 2#1","Subject 3#1","Subject Type 3#1","Subject 4#1","Subject Type 4#1","Subject 5#1","Subject Type 5#1","Subject 6#1","Subject Type 6#1","Subject 6#2","Subject Type 6#2","Subject 6#3","Subject Type 6#3","Subject 6#4","Subject Type 6#4","Subject 6#5","Subject Type 6#5","Subject 6#6","Subject Type 6#6","Subject 6#7","Subject Type 6#7","Type#1","Source#1","Relation#1","Relation Type#1","Relation#2","Coverage Spatial#1","Coverage Spatial Type#1","Coverage Spatial#2","Coverage Spatial Type#2","Creator#1","Creator Type#1","Creator 2#1","Creator Type 2#1","Creator 3#1","Creator Type 3#1","Creator 4#1","Creator Type 4#1","Creator 5#1","Creator Type 5#1","Creator 5#2","Creator Type 5#2","Creator 5#3","Publisher#1","Publisher#2","Contributor 1#1","Contributor Type 1#1","Contributor 2#1","Contributor Type 2#1","Contributor 3#1","Contributor Type 3#1","Rights#1","Date#1","Date Type#1","Date#2","Date Type#2","Format Extent#1","Format Medium#1","Format Media Type#1","Format Medium#2","Format Medium#3","Language#1","Language 2#1","Language 3#1","Language#2","Language 3#2","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"RZAC2_203c","JRRZ0004S0047N0003","narv_schachterShalomi_onPain3","On Pain, Gaia Part 3 of 3","On Pain, Gaia Part 3 of 3. An interview between Reb Zalman and an unidentified woman. Includes conversation about a shift in consciousness, healing and transforming pain through spirit. Biographical material about Reb Zalman's childhood, experiences during the holocaust, experience taking LSD with Timothy Leary. Reb Zalman talks about updating the old religion, ordaining women rabbis and other religious ideas.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Paradigm Shift","zsssh","Jewish renewal","lcsh","Biographical history","lcsh","Gaian Conscoiusness","zsssh","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0047","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","","0:07:19","audio/mp3","","","","English","","","","","1101540","4546","narv_schachterShalomi_onPain3.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101540~142679"
"RZAC2_204a","JRRZ0004S0048N0001","narv_schachterShalomi_zalmanShiur1","Reb Zalman - Lecture on Shiur Part 1 of 2","Reb Zalman - Lecture on Shiur Part 1 of 2. Reb Zalman teaches other rabbis how to do a Shiur.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Jewish renewal","lcsh","Hasidism","lcsh","Mysticism--Judaism","lcsh","Judaism--Liturgy","lcsh","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0048","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","","0:47:27","audio/mp3","","","","English","","","","","1101541","4546","narv_schachterShalomi_zalmanShiur1.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101541~142708"
"RZAC2_204b","JRRZ0004S0048N0002","narv_schachterShalomi_zalmanShiur2","Reb Zalman - Lecture on Shiur Part 2 of 2","Reb Zalman - Lecture on Shiur Part 2 of 2. Side B is a mixtape with a variety of music - Latin, afro-cuban.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Jewish renewal","lcsh","Hasidism","lcsh","Mysticism--Judaism","lcsh","Judaism--Liturgy","lcsh","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0048","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","","0:47:40","audio/mp3","","","","","","","","","1101542","4546","narv_schachterShalomi_zalmanShiur2.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101542~142707"
"RZAC2_205a","JRRZ0004S0049N0001","narv_schachterShalomi_musufMusic1","Musaf music tape from Nancy Berkowitz Part 1 of 2","Musaf music tape from Nancy Berkowitz Part 1 of 2. A recording of Reb Zalman singing and instructing a group on niggun and prayer.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Nigunim","lcsh","Judaism-liturgy","lcsh","Sabbath Liturgy","lcsh","","","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0049","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","Jul-75","Created","","","0:47:09","audio/mp3","","","","English","Hebrew","","","","1101543","4546","narv_schachterShalomi_musufMusic1.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101543~142592"
"RZAC2_205b","JRRZ0004S0049N0002","narv_schachterShalomi_musufMusic2","Musaf music tape from Nancy Berkowitz Part 2 of 2","Musaf music tape from Nancy Berkowitz Part 2 of 2. A recording of Reb Zalman singing and instructing a group on niggun and prayer.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Nigunim","lcsh","Judaism-liturgy","lcsh","Sabbath Liturgy","lcsh","","","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0049","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","Jul-75","Created","","","0:47:14","audio/mp3","","","","English","Hebrew","","","","1101544","4546","narv_schachterShalomi_musufMusic2.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101544~142591"
"RZAC2_206a","JRRZ0004S0050N0001","narv_schachterShalomi_niggunSeminar1","Niggun Seminar, Part 1 of 10","Niggun Seminar, Part 1 of 10. Rabbi Zalman Schachter-Shalomi leads a group in singing niggunim and prayers. It is uncleear what type of gathering this is. Some of the sound quality is very poor.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Nigunim","lcsh","Judaism-liturgy","lcsh","Hasidism","lcsh","Mysticism--Judaism","lcsh","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0050","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","","0:31:44","audio/mp3","","","","English","Hebrew","","","","1101545","4546","narv_schachterShalomi_niggunSeminar1.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101545~142693"
"RZAC2_206b","JRRZ0004S0050N0002","narv_schachterShalomi_niggunSeminar2","Niggun Seminar, Part 2 of 10","Niggun Seminar, Part 2 of 10.Rabbi Zalman Schachter-Shalomi leads a group in singing niggunim and prayers. It is uncleear what type of gathering this is. Some of the sound quality is very poor.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Nigunim","lcsh","Judaism-liturgy","lcsh","Hasidism","lcsh","Mysticism--Judaism","lcsh","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0050","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","","0:31:41","audio/mp3","","","","English","Hebrew","","","","1101546","4546","narv_schachterShalomi_niggunSeminar2.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101546~142692"
"RZAC2_207a","JRRZ0004S0050N0003","narv_schachterShalomi_niggunSeminar3","Niggun Seminar, Part 3 of 10","Niggun Seminar, Part 3 of 10.Rabbi Zalman Schachter-Shalomi leads a group in singing niggunim and prayers. It is uncleear what type of gathering this is. Some of the sound quality is very poor.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Nigunim","lcsh","Judaism-liturgy","lcsh","Hasidism","lcsh","Mysticism--Judaism","lcsh","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0050","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","","0:30:57","audio/mp3","","","","English","Hebrew","","","","1101547","4546","narv_schachterShalomi_niggunSeminar3.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101547~142691"
"RZAC2_207b","JRRZ0004S0050N0004","narv_schachterShalomi_niggunSeminar4","Niggun Seminar, Part 4 of 10","Niggun Seminar, Part 4 of 10. Rabbi Zalman Schachter-Shalomi leads a group in singing niggunim and prayers. It is uncleear what type of gathering this is. Some of the sound quality is very poor.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Nigunim","lcsh","Judaism-liturgy","lcsh","Hasidism","lcsh","Mysticism--Judaism","lcsh","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0050","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","","0:31:41","audio/mp3","","","","English","Hebrew","","","","1101548","4546","narv_schachterShalomi_niggunSeminar4.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101548~142690"
"RZAC2_208a","JRRZ0004S0050N0005","narv_schachterShalomi_niggunSeminar5","Niggun Seminar, Part 5 of 10","Niggun Seminar, Part 5 of 10. Rabbi Zalman Schachter-Shalomi leads a group in singing niggunim and prayers. It is uncleear what type of gathering this is. Some of the sound quality is very poor.","","Schachter-Shalomi, Zalman, 1924-2014","lcsh","Nigunim","lcsh","Judaism-liturgy","lcsh","Hasidism","lcsh","Mysticism--Judaism","lcsh","","","","","","","","","","","","","","","Sound","Rabbi Zalman Schachter-Shalomi Collection","JRRZ0004S0050","Series Identifier","Special Collections, Archives & Preservation, University of Colorado Boulder","","","","","Schachter-Shalomi, Zalman, 1924-2014","Speaker","","","","","","","","","","","","","","","","","","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","","0:31:33","audio/mp3","","","","English","Hebrew","","","","1101549","4546","narv_schachterShalomi_niggunSeminar5.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1101549~142689"
